symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2016-06-20 00:00:00+00:00,22.2071288924,22.5503936608,22.1907829511,22.4172909955,137647604,95.1,0.0,96.57,95.03,96.0,1.0,34411901
AAPL,2016-06-21 00:00:00+00:00,22.3962747852,22.4990207023,22.1081191905,22.1697667408,142185432,95.91,0.0,96.35,94.676,94.94,1.0,35546358
AAPL,2016-06-22 00:00:00+00:00,22.312209944,22.6251179641,22.2655072544,22.4756693575,116876488,95.55,0.0,96.89,95.35,96.25,1.0,29219122
AAPL,2016-06-23 00:00:00+00:00,22.4406423403,22.4850098954,22.2421559096,22.4032801886,128960748,96.1,0.0,96.29,95.25,95.94,1.0,32240187
AAPL,2016-06-24 00:00:00+00:00,21.810156031,22.1032154081,21.6350209451,21.6957344416,301245424,93.4,0.0,94.655,92.65,92.91,1.0,75311356
AAPL,2016-06-27 00:00:00+00:00,21.4925777419,21.7284263243,21.3664804801,21.7167506519,186488752,92.04,0.0,93.05,91.5,93.0,1.0,46622188
AAPL,2016-06-28 00:00:00+00:00,21.8545235861,21.8708695275,21.5159290867,21.6933993071,161779656,93.59,0.0,93.66,92.14,92.9,1.0,40444914
AAPL,2016-06-29 00:00:00+00:00,22.0436694789,22.0786964961,21.8638641241,21.9432586963,146124024,94.4,0.0,94.55,93.63,93.97,1.0,36531006
AAPL,2016-06-30 00:00:00+00:00,22.3238856164,22.3635829025,22.0203181341,22.0530100168,143345424,95.6,0.0,95.77,94.3,94.44,1.0,35836356
AAPL,2016-07-01 00:00:00+00:00,22.3916045162,22.5258747488,22.2608369854,22.2981991371,104106160,95.89,0.0,96.465,95.33,95.49,1.0,26026540
AAPL,2016-07-05 00:00:00+00:00,22.1814424132,22.2771829268,22.0576802858,22.2748477923,110820840,94.99,0.0,95.4,94.46,95.39,1.0,27705210
AAPL,2016-07-06 00:00:00+00:00,22.307539675,22.3378964232,22.0366640755,22.0903721685,123796360,95.53,0.0,95.66,94.37,94.6,1.0,30949090
AAPL,2016-07-07 00:00:00+00:00,22.4032801886,22.5340477194,22.3285558853,22.3472369611,100558232,95.94,0.0,96.5,95.62,95.7,1.0,25139558
AAPL,2016-07-08 00:00:00+00:00,22.5760801401,22.6251179641,22.4289666679,22.531712585,115648412,96.68,0.0,96.89,96.05,96.49,1.0,28912103
AAPL,2016-07-11 00:00:00+00:00,22.6461341744,22.8025881845,22.5877558125,22.5924260814,95179780,96.98,0.0,97.65,96.73,96.75,1.0,23794945
AAPL,2016-07-12 00:00:00+00:00,22.7488800915,22.8142638569,22.6788260571,22.6905017295,96669852,97.42,0.0,97.7,97.12,97.17,1.0,24167463
AAPL,2016-07-13 00:00:00+00:00,22.6204476952,22.8072584535,22.6134422917,22.746544957,103568684,96.87,0.0,97.67,96.84,97.41,1.0,25892171
AAPL,2016-07-14 00:00:00+00:00,23.0687935151,23.1154962046,22.7255287467,22.741874688,155675988,98.79,0.0,98.99,97.32,97.39,1.0,38918997
AAPL,2016-07-15 00:00:00+00:00,23.0664583806,23.1878853735,23.0010746152,23.0991502633,120547960,98.78,0.0,99.3,98.5,98.92,1.0,30136990
AAPL,2016-07-18 00:00:00+00:00,23.3116475009,23.3817015352,23.02442596,23.0477773048,145975468,99.83,0.0,100.13,98.6,98.7,1.0,36493867
AAPL,2016-07-19 00:00:00+00:00,23.3209880388,23.351344787,23.1972259114,23.2485988699,95119696,99.87,0.0,100.0,99.34,99.56,1.0,23779924
AAPL,2016-07-20 00:00:00+00:00,23.3420042491,23.458760973,23.2894637233,23.351344787,105103872,99.96,0.0,100.46,99.735,100.0,1.0,26275968
AAPL,2016-07-21 00:00:00+00:00,23.2182421217,23.5848582349,23.1481880873,23.3116475009,130808112,99.43,0.0,101.0,99.13,99.83,1.0,32702028
AAPL,2016-07-22 00:00:00+00:00,23.0384367668,23.1878853735,22.9567070601,23.1785448356,113254676,98.66,0.0,99.3,98.31,99.26,1.0,28313669
AAPL,2016-07-25 00:00:00+00:00,22.7301990157,23.0804691875,22.6321233676,22.9426962532,161531684,97.34,0.0,98.84,96.92,98.25,1.0,40382921
AAPL,2016-07-26 00:00:00+00:00,22.5737450056,22.8773124878,22.5153666436,22.6087720228,224959288,96.67,0.0,97.97,96.42,96.82,1.0,56239822
AAPL,2016-07-27 00:00:00+00:00,24.0402094582,24.3671282852,23.9935067686,24.3472796422,369379280,102.95,0.0,104.35,102.75,104.265,1.0,92344820
AAPL,2016-07-28 00:00:00+00:00,24.3647931507,24.39047963,24.00985271,24.0121878445,159479356,104.34,0.0,104.45,102.82,102.83,1.0,39869839
AAPL,2016-07-29 00:00:00+00:00,24.3344364025,24.4138309748,24.2106742752,24.3297661336,110934752,104.21,0.0,104.55,103.68,104.19,1.0,27733688
AAPL,2016-08-01 00:00:00+00:00,24.7641011466,24.7874524914,24.3811390921,24.3811390921,152671484,106.05,0.0,106.15,104.41,104.41,1.0,38167871
AAPL,2016-08-02 00:00:00+00:00,24.3974850334,24.7687714156,24.2853985785,24.7641011466,135266224,104.48,0.0,106.07,104.0,106.05,1.0,33816556
AAPL,2016-08-03 00:00:00+00:00,24.7033876502,24.7150633226,24.4652039333,24.4745444712,120810564,105.79,0.0,105.84,104.77,104.81,1.0,30202641
AAPL,2016-08-04 00:00:00+00:00,24.8551713913,24.8856915791,24.7166566929,24.7870878954,109634600,105.87,0.57,106.0,105.28,105.58,1.0,27408650
AAPL,2016-08-05 00:00:00+00:00,25.2331521785,25.2730631933,24.9279503006,24.9490796614,162213608,107.48,0.0,107.65,106.18,106.27,1.0,40553402
AAPL,2016-08-08 00:00:00+00:00,25.4420980795,25.4420980795,25.1580255624,25.2425430055,112148880,108.37,0.0,108.37,107.16,107.52,1.0,28037220
AAPL,2016-08-09 00:00:00+00:00,25.5453971766,25.5759173644,25.3575806364,25.4092301849,105260816,108.81,0.0,108.94,108.01,108.23,1.0,26315204
AAPL,2016-08-10 00:00:00+00:00,25.3552329296,25.5665265374,25.2988879675,25.5219201091,96034020,108.0,0.0,108.9,107.76,108.71,1.0,24008505
AAPL,2016-08-11 00:00:00+00:00,25.3387989823,25.5735696576,25.3200173283,25.4773136807,109938024,107.93,0.0,108.93,107.85,108.52,1.0,27484506
AAPL,2016-08-12 00:00:00+00:00,25.3974916512,25.4585320267,25.303583381,25.303583381,74641736,108.18,0.0,108.44,107.78,107.78,1.0,18660434
AAPL,2016-08-15 00:00:00+00:00,25.702693529,25.7167797695,25.3740145836,25.3881008241,103472836,109.48,0.0,109.54,108.08,108.14,1.0,25868209
AAPL,2016-08-16 00:00:00+00:00,25.6792164615,25.8787715355,25.6393054467,25.7379091303,135177792,109.38,0.0,110.23,109.21,109.63,1.0,33794448
