"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 23-Jun-2020","30 D % CHNG 
 24-May-2021"
"NIFTY 50","15,839.35","15,870.80","15,772.30","15,790.45","15,860.35","69.90","0.44",314614380,"269,325,251,298.64","15,901.60","10,562.65","53.23","3.83"
"TATASTEEL","1,135.00","1,170.00","1,130.00","1,113.15","1,165.50","52.35","4.70",18022770,"20,860,050,029.00","1,246.85","312.10","241.40","0.72"
"AXISBANK","737.55","765.95","737.55","739.15","760.60","21.45","2.90",11170037,"8,446,791,591.42","799.00","400.15","74.06","1.04"
"SBIN","421.00","431.00","419.05","417.20","428.65","11.45","2.74",29886797,"12,732,237,783.58","441.95","175.50","126.00","1.18"
"ICICIBANK","636.10","650.00","636.10","634.05","648.75","14.70","2.32",14785922,"9,535,663,940.28","679.40","333.75","82.15","-2.50"
"HINDALCO","371.55","380.35","371.55","369.05","376.00","6.95","1.88",12815999,"4,819,456,423.95","427.50","143.30","143.76","-5.66"
"JSWSTEEL","685.00","702.35","685.00","679.00","690.00","11.00","1.62",9066409,"6,290,630,282.16","773.00","185.65","250.18","-3.11"
"COALINDIA","146.75","149.25","146.75","146.40","148.75","2.35","1.61",7400514,"1,095,591,290.64","165.00","109.55","3.43","-0.71"
"TATAMOTORS","335.90","342.80","335.90","334.65","339.10","4.45","1.33",22426352,"7,625,195,532.01","360.75","97.30","219.32","6.15"
"MARUTI","7,540.00","7,665.00","7,540.00","7,527.45","7,623.00","95.55","1.27",1216123,"9,275,484,106.20","8,329.00","5,650.00","30.79","8.91"
"HEROMOTOCO","2,908.00","2,949.30","2,901.95","2,906.95","2,941.45","34.50","1.19",631005,"1,851,236,158.95","3,629.05","2,439.75","16.57","-0.78"
"LT","1,510.50","1,529.30","1,507.50","1,504.05","1,520.85","16.80","1.12",2099002,"3,190,421,457.36","1,593.00","843.00","57.40","3.66"
"SUNPHARMA","664.80","677.40","664.80","664.80","672.15","7.35","1.11",3010243,"2,026,917,021.62","721.85","452.25","37.24","-4.50"
"BHARTIARTL","531.30","535.90","529.35","528.75","534.50","5.75","1.09",5402768,"2,880,539,786.88","623.00","394.00","-5.13","0.50"
"BAJAJFINSV","12,355.00","12,520.00","12,320.50","12,333.25","12,465.00","131.75","1.07",218717,"2,722,153,812.52","12,520.00","5,400.00","103.99","8.42"
"INFY","1,572.00","1,578.00","1,543.00","1,559.20","1,574.00","14.80","0.95",9780240,"15,307,210,100.80","1,578.00","693.50","118.33","14.51"
"INDUSINDBK","997.00","1,020.00","986.65","1,000.65","1,010.00","9.35","0.93",3499315,"3,526,294,718.65","1,119.50","461.00","107.73","0.68"
"ITC","204.00","205.60","203.75","203.25","205.00","1.75","0.86",13877208,"2,841,773,425.56","239.20","163.35","5.94","-3.63"
"BPCL","468.40","472.10","466.20","466.10","469.85","3.75","0.80",2952120,"1,386,353,215.12","493.90","325.00","23.13","-1.75"
"HDFCLIFE","722.00","731.50","718.30","719.60","725.25","5.65","0.79",2833717,"2,056,910,158.79","746.00","519.00","36.48","9.17"
"HDFC","2,511.00","2,515.00","2,482.00","2,487.40","2,506.65","19.25","0.77",1871813,"4,675,337,141.12","2,896.00","1,623.00","38.36","-1.70"
"CIPLA","951.00","961.00","948.95","950.90","958.25","7.35","0.77",2134441,"2,036,939,735.12","982.30","621.05","50.65","1.64"
"TECHM","1,087.40","1,103.20","1,077.00","1,080.00","1,085.95","5.95","0.55",3200049,"3,490,101,441.36","1,103.20","536.05","92.53","8.80"
"EICHERMOT","2,701.00","2,725.00","2,683.00","2,706.75","2,721.00","14.25","0.53",455803,"1,232,103,879.45","3,037.00","1,785.01","-85.32","3.11"
"HDFCBANK","1,511.10","1,522.00","1,507.00","1,506.25","1,513.75","7.50","0.50",5191588,"7,866,267,262.56","1,641.00","993.00","45.88","1.85"
"SBILIFE","997.00","1,017.55","991.40","1,002.15","1,007.05","4.90","0.49",980203,"988,002,392.00","1,044.70","755.25","28.36","3.82"
"BAJFINANCE","6,057.00","6,107.00","6,030.20","6,043.60","6,070.00","26.40","0.44",961994,"5,838,963,904.64","6,249.00","2,770.00","105.95","7.56"
"GRASIM","1,501.70","1,515.00","1,490.00","1,498.90","1,505.00","6.10","0.41",1194203,"1,795,412,558.32","1,530.95","565.00","144.26","9.02"
"HCLTECH","995.00","1,010.00","989.25","989.70","993.35","3.65","0.37",5196000,"5,190,332,364.36","1,067.00","545.00","76.86","5.22"
"DRREDDY","5,277.00","5,336.00","5,267.00","5,277.65","5,294.00","16.35","0.31",464073,"2,463,712,508.97","5,515.00","3,814.00","30.55","-0.63"
"M&M","793.20","801.90","790.00","791.80","793.80","2.00","0.25",1763201,"1,401,850,587.06","952.05","493.05","53.64","-2.40"
"ADANIPORTS","715.00","719.00","706.50","709.90","711.00","1.10","0.15",12085421,"8,605,271,839.08","901.00","298.00","101.76","-7.08"
"TATACONSUM","755.00","763.45","753.50","757.45","758.45","1.00","0.13",1588289,"1,205,257,224.76","765.00","377.60","97.72","16.54"
"DIVISLAB","4,254.65","4,289.00","4,240.25","4,250.35","4,251.00","0.65","0.02",215936,"920,552,997.28","4,425.00","2,090.05","81.53","3.72"
"IOC","111.50","112.40","111.20","111.45","111.45","-","-",5213142,"582,095,732.14","117.85","71.65","27.96","1.04"
"SHREECEM","28,700.00","28,899.70","28,605.00","28,672.30","28,660.30","-12.00","-0.04",19694,"566,424,057.50","32,048.00","18,183.55","27.06","6.03"
