Date,Price,Open,High,Low,Volume,Chg% 
"Jun 25, 2021","15,860.35","15,836.85","15,869.90","15,772.55",314.43K,0.44%
"Jun 24, 2021","15,790.45","15,737.30","15,821.40","15,702.70",316.66B,0.66%
"Jun 23, 2021","15,686.95","15,862.80","15,862.95","15,673.95",287.54B,-0.54%
"Jun 22, 2021","15,772.75","15,840.50","15,895.75","15,752.10",322.24B,0.17%
"Jun 21, 2021","15,746.50","15,525.85","15,765.15","15,505.65",351.53B,0.40%
"Jun 18, 2021","15,683.35","15,756.50","15,761.50","15,450.90",640.82B,-0.05%
"Jun 17, 2021","15,691.40","15,648.30","15,769.35","15,616.75",357.65M,-0.48%
"Jun 16, 2021","15,767.55","15,847.50","15,880.85","15,742.60",340.19M,-0.64%
"Jun 15, 2021","15,869.25","15,866.95","15,901.60","15,842.40",323.26M,0.36%
"Jun 14, 2021","15,811.85","15,791.40","15,823.05","15,606.50",392.86M,0.08%
"Jun 11, 2021","15,799.35","15,796.45","15,835.55","15,749.80",363.01M,0.39%
"Jun 10, 2021","15,737.75","15,692.10","15,751.25","15,648.50",298.30M,0.65%
"Jun 09, 2021","15,635.35","15,766.30","15,800.45","15,566.90",457.86M,-0.67%
"Jun 08, 2021","15,740.10","15,773.90","15,778.80","15,680.00",378.16M,-0.07%
"Jun 07, 2021","15,751.65","15,725.10","15,773.45","15,678.10",393.97M,0.52%
"Jun 04, 2021","15,670.25","15,712.50","15,733.60","15,622.35",414.16M,-0.13%
"Jun 03, 2021","15,690.35","15,655.55","15,705.10","15,611.00",410.24M,0.73%
"Jun 02, 2021","15,576.20","15,520.35","15,597.45","15,459.85",428.64M,0.01%
"Jun 01, 2021","15,574.85","15,629.65","15,660.75","15,528.30",409.56M,-0.05%
"May 31, 2021","15,582.80","15,437.75","15,606.35","15,374.00",436.00M,0.95%
"May 28, 2021","15,435.65","15,421.20","15,469.65","15,394.75",455.58M,0.64%
"May 27, 2021","15,337.85","15,323.95","15,384.55","15,272.50",682.37M,0.24%
"May 26, 2021","15,301.45","15,257.05","15,319.90","15,194.95",377.68M,0.61%
"May 25, 2021","15,208.45","15,291.75","15,293.85","15,163.40",417.32M,0.07%
"May 24, 2021","15,197.70","15,211.35","15,256.25","15,145.45",566.72M,0.15%
"May 21, 2021","15,175.30","14,987.80","15,190.00","14,985.85",557.73M,1.81%
"May 20, 2021","14,906.05","15,042.60","15,069.80","14,884.90",467.46M,-0.83%
"May 19, 2021","15,030.15","15,058.60","15,133.40","15,008.85",563.29M,-0.52%
"May 18, 2021","15,108.10","15,067.20","15,137.25","15,043.70",571.92M,1.24%
"May 17, 2021","14,923.15","14,756.25","14,938.00","14,725.35",534.52M,1.67%
"May 14, 2021","14,677.80","14,749.40","14,749.65","14,591.90",602.74M,-0.13%
"May 12, 2021","14,696.50","14,823.55","14,824.05","14,649.70",620.32M,-1.04%
"May 11, 2021","14,850.75","14,789.70","14,900.00","14,771.40",616.20M,-0.61%
"May 10, 2021","14,942.35","14,928.25","14,966.90","14,892.50",510.60M,0.80%
"May 07, 2021","14,823.15","14,816.85","14,863.05","14,765.50",483.68M,0.67%
"May 06, 2021","14,724.80","14,668.35","14,743.90","14,611.50",445.28M,0.73%
"May 05, 2021","14,617.85","14,604.15","14,637.90","14,506.60",437.26M,0.84%
"May 04, 2021","14,496.50","14,687.25","14,723.40","14,461.50",479.66M,-0.94%
"May 03, 2021","14,634.15","14,481.05","14,673.85","14,416.25",443.41M,0.02%
"Apr 30, 2021","14,631.10","14,747.35","14,855.45","14,601.70",594.74M,-1.77%
"Apr 29, 2021","14,894.90","14,979.00","15,044.35","14,814.45",511.47M,0.20%
